DateTime,AddedIPs,RemovedIPs
1521088578,15,19
1521089560,17,18
1521090516,14,19
1521091456,15,14
1521092416,22,11
1521093391,9,13
1521094339,24,11
1521095294,17,16
1521096270,20,13
1521097217,16,16
1521098184,17,10
1521099144,17,25
1521100091,22,15
1521101083,28,21
1521102027,17,0
1521102976,21,27
1521103961,17,12
1521104907,13,25
1521105860,9,7
1521106813,15,34
1521107778,4,29
1521108740,35,18
1521109690,3,0
1521110675,16,19
1521111620,19,16
1521112576,16,18
1521113550,20,20
1521114497,25,9
1521115475,12,23
1521116941,24,40
1521118099,22,12
1521119316,18,53
1521120257,10,0
1521121480,36,44
1521122413,12,22
1521123387,14,9
1521124338,15,24
1521125303,16,12
1521126257,16,34
1521127217,14,19
1521128187,15,22
1521129162,15,26
1521130092,13,4
1521131061,3,30
1521132272,25,8
1521133239,23,25
1521134183,16,3
1521135146,15,23
1521136090,16,13
1521137096,6,34
1521138010,22,7
1521138981,27,0
1521139941,14,26
1521140907,25,12
1521141853,7,0
1521142811,20,37
1521143775,12,0
1521144737,13,20
1521145693,4,0
1521146663,16,38
1521147613,7,0
1521148582,20,34
1521149538,9,0
1521150494,23,16
1521151465,17,32
1521152422,7,9
1521153373,18,21
1521154341,8,11
1521155295,27,25
1521157198,30,28
1521158170,14,16
1521159156,21,21
1521160095,1,27
1521161081,14,28
1521162162,21,24
1521163087,22,25
1521164430,32,51
1521165377,7,28
1521166425,23,13
1521167546,18,24
1521168495,25,7
1521169578,27,36
1521170651,10,3
1521171611,39,26
1521172580,14,11
1521173536,27,48
1521174488,8,30
1521175463,26,25
1521176436,13,30
1521177369,14,13
1521178345,15,25
1521179290,17,20
1521180266,14,21
1521181208,24,5
1521182175,18,24
1521183127,15,15
1521184109,29,23
1521185049,18,11
1521186011,10,23
1521186965,22,18
1521187945,20,21
1521188889,19,21
1521189863,18,15
1521190815,18,26
1521191792,20,27
1521192735,16,36
1521193695,11,7
1521194655,17,23
1521195627,14,6
1521196568,12,28
1521197539,11,2
1521198490,15,35
1521199457,14,5
1521200407,27,41
1521201467,10,0
1521202571,13,34
1521203535,8,23
1521204487,6,0
1521205455,10,5
1521206409,15,32
1521207379,17,29
1521208332,16,24
1521209295,26,42
1521210265,8,9
1521211211,19,25
1521212172,11,4
1521213145,22,37
1521214091,20,18
1521215062,22,15
1521216018,25,23
1521216980,13,21
1521217944,11,25
1521218900,15,11
1521219854,16,15
1521220816,16,7
1521221771,16,24
1521222746,15,10
1521223697,13,30
1521224665,13,17
1521225609,19,23
1521226582,16,31
1521227550,17,18
1521228500,10,5
1521229457,19,33
1521230430,24,25
1521231374,21,23
1521232347,14,20
1521233293,21,7
1521234269,15,17
1521235208,14,14
1521236189,20,19
1521237135,18,7
1521238115,17,35
1521239052,7,8
1521240018,24,38
1521242216,44,50
1521243141,10,0
1521244099,10,14
1521245058,10,31
1521246029,15,20
1521246972,13,46
1521247958,12,17
1521248895,15,61
1521249866,4,9
1521250823,10,53
1521251777,7,34
1521252741,17,13
1521253703,7,18
1521254654,17,9
1521255631,14,27
1521256572,9,2
1521257557,13,30
1521258490,7,13
1521259464,8,15
1521260414,11,2
1521261645,12,24
1521262568,4,15
1521263544,19,20
1521264489,4,7
1521265482,21,20
1521266419,10,25
1521267405,20,6
1521268335,8,16
1521269312,10,3
1521270257,11,16
1521271229,11,14
1521272172,8,21
1521273145,8,3
1521274094,16,20
1521275078,13,9
1521276010,13,14
1521276978,1,13
1521277939,14,14
1521278898,2,22
1521279869,14,11
1521280839,5,12
1521281786,28,11
1521282752,8,28
1521283757,11,8
1521284672,3,20
1521285612,17,8
1521286596,15,15
1521287530,7,13
1521288530,19,21
1521289467,5,3
1521290420,11,27
1521291371,9,17
1521292364,13,12
1521293290,2,16
1521294261,26,8
1521295222,11,22
1521296192,20,10
1521297137,6,27
1521298099,8,11
1521299057,15,24
1521300028,16,1
1521300972,20,26
1521301956,11,11
1521302894,19,15
1521303863,7,20
1521304816,30,17
1521305790,4,22
1521306740,19,8
1521307727,9,15
1521308717,27,11
1521309638,16,28
1521310570,10,10
1521311560,17,20
1521312494,7,25
1521313467,12,6
1521314412,7,15
1521315395,10,20
1521316331,14,11
1521317311,14,12
1521318335,10,10
1521319465,16,11
1521320417,8,18
1521321389,7,12
1521322337,22,20
1521323315,11,18
1521324504,17,19
1521325451,10,12
1521326933,24,18
1521327858,17,0
1521328817,24,51
1521329921,20,0
1521330968,3,31
1521331941,16,0
1521332899,7,39
1521333855,23,0
1521334812,10,10
1521335786,2,47
1521336736,11,0
1521337698,13,46
1521338657,1,32
1521339611,17,13
1521340588,15,16
1521341551,8,4
1521342494,7,16
1521343457,9,8
1521344415,8,16
1521345387,2,13
1521346338,17,13
1521347296,3,8
1521348276,14,11
1521349222,14,9
1521350169,6,8
1521351150,1,13
1521352092,19,14
1521353060,11,23
1521354009,6,9
1521354997,12,16
1521355933,6,10
1521356895,23,21
1521357853,5,15
1521358817,7,13
1521359768,1,19
1521360754,13,19
1521361693,5,16
1521362665,10,8
1521363623,9,19
1521364583,12,83
1521366493,20,0
1521367473,11,0
1521368416,7,15
1521369374,8,17
1521370349,11,14
1521371295,16,8
1521372254,10,15
